Transaction Date,TIN,Invoice Reference,Subtotal,SST Amount,Total Amount
2026-08-01,C12345678010,INV-2026-0001,10000.00,600.00,10600.00
2026-08-02,C12345678010,INV-2026-0002,25000.00,1500.00,26500.00
2026-08-03,C98765432010,INV-2026-0003,8000.00,480.00,8480.00
2026-08-04,C12345678010,INV-2026-0004,12000.00,720.00,12720.00
2026-08-05,C55566677010,INV-2026-0005,5000.00,300.00,5300.00
2026-08-06,C12345678010,INV-2026-0006,15000.00,900.00,15900.00
2026-08-07,C98765432010,INV-2026-0007,20000.00,1200.00,21200.00
2026-08-08,C12345678010,INV-2026-0008,7500.00,450.00,7950.00
2026-08-09,C55566677010,INV-2026-0009,30000.00,1800.00,31800.00
2026-08-10,C12345678010,INV-2026-0010,9500.00,570.00,10070.00
2026-08-11,C98765432010,INV-2026-0011,11000.00,660.00,11660.00
2026-08-12,C12345678010,INV-2026-0012,4200.00,252.00,4452.00
