Transaction Date,TIN,Invoice Reference,Subtotal,SST Amount,Total Amount
2010-03-21,C98765432019,501871,620.75,37.25,658.00
2010-03-21,C98765432019,501872,17.37,1.04,18.41
2010-03-21,C98765432019,501874,2465.68,147.94,2613.62
2010-03-21,C98765432019,501875,213.77,12.83,226.60
2010-03-21,C98765432019,501876,142.11,8.53,150.64
2010-03-21,C98765432019,501877,518.86,31.13,549.99
2010-03-21,C98765432019,501879,212.08,12.73,224.81
2010-03-21,C98765432019,501880,203.25,12.19,215.44
2010-03-21,C98765432019,501881,277.92,16.68,294.60
2010-03-21,C98765432019,501882,95.99,5.76,101.75
2010-03-21,C98765432019,501883,247.46,14.85,262.31
2010-03-21,C98765432019,501884,105.05,6.30,111.35
2010-03-21,C98765432019,501885,81.37,4.88,86.25
2010-03-21,C98765432019,501886,183.23,10.99,194.22
2010-03-21,C98765432019,501887,171.38,10.28,181.66
2010-03-21,C98765432019,501888,303.15,18.19,321.34
2010-03-21,C98765432019,501889,521.11,31.27,552.38
2010-03-21,C98765432019,501890,187.59,11.26,198.85
2010-03-21,C98765432019,501891,106.84,6.41,113.25
2010-03-21,C98765432019,501892,158.16,9.49,167.65
2010-03-21,C98765432019,501893,240.23,14.41,254.64
2010-03-21,C98765432019,501894,171.51,10.29,181.80
2010-03-21,C98765432019,501895,135.36,8.12,143.48
2010-03-21,C98765432019,501896,450.26,27.02,477.28
2010-03-21,C98765432019,501897,715.79,42.95,758.74
2010-03-21,C98765432019,501898,207.55,12.45,220.00
2010-03-21,C98765432019,501899,1028.28,61.70,1089.98
2010-03-21,C98765432019,501900,120.64,7.24,127.88
2010-03-21,C98765432019,501902,359.43,21.57,381.00
2010-03-21,C98765432019,501903,351.64,21.10,372.74
2010-03-21,C98765432019,501904,865.75,51.95,917.70
2010-03-21,C98765432019,501906,1012.97,60.78,1073.75
2010-03-21,C98765432019,501907,823.53,49.41,872.94
2010-03-22,C98765432019,501908,16.42,0.98,17.40
2010-03-22,C98765432019,501909,296.32,17.78,314.10
2010-03-22,C98765432019,501910,239.23,14.35,253.58
2010-03-22,C98765432019,501911,211.24,12.67,223.91
2010-03-22,C98765432019,501912,392.38,23.54,415.92
2010-03-22,C98765432019,501913,323.70,19.42,343.12
2010-03-22,C98765432019,501916,134.86,8.09,142.95
2010-03-22,C98765432019,501917,505.22,30.31,535.53
2010-03-22,C98765432019,501918,2401.36,144.08,2545.44
2010-03-22,C98765432019,501919,369.34,22.16,391.50
2010-03-22,C98765432019,501920,350.47,21.03,371.50
2010-03-22,C98765432019,501921,333.40,20.00,353.40
2010-03-22,C98765432019,501922,963.56,57.81,1021.37
2010-03-22,C98765432019,501923,142.88,8.57,151.45
2010-03-22,C98765432019,501925,932.11,55.93,988.04
2010-03-22,C98765432019,501926,803.74,48.22,851.96
2010-03-22,C98765432019,501927,413.18,24.79,437.97
2010-03-22,C98765432019,501928,176.32,10.58,186.90
2010-03-22,C98765432019,501930,738.16,44.29,782.45
2010-03-22,C98765432019,501929,90.00,5.40,95.40
2010-03-22,C98765432019,501931,0.90,0.05,0.95
2010-03-22,C98765432019,501935,186.66,11.20,197.86
2010-03-22,C98765432019,501938,1116.79,67.01,1183.80
2010-03-22,C98765432019,501944,205.98,12.36,218.34
2010-03-22,C98765432019,501945,114.06,6.84,120.90
2010-03-22,C98765432019,501947,101.60,6.10,107.70
2010-03-22,C98765432019,501959,126.04,7.56,133.60
